Memory	MinSketch	True-Counts	Lossy-MinSketch-WS	Lossy-MinSketch-SWS
103728		0.1930		
10596	0.2305		0.2319	0.2305
10676	0.2328		0.2278	0.2306
10752	0.2303		0.2242	0.2271
10832	0.2268		0.2218	0.2237
10908	0.2227		0.2203	0.2203
10988	0.2190		0.2194	0.2194
11064	0.2158		0.2158	0.2158
11144	0.2130		0.2130	0.2130
11220	0.2108		0.2108	0.2108
11300	0.2092		0.2092	0.2092
12080	0.2038		0.2038	0.2038
12860	0.2009		0.2009	0.2009
13644	0.1980		0.1980	0.1980
14424	0.1964		0.1964	0.1964
15204	0.1953		0.1953	0.1953
15988	0.1946		0.1946	0.1946
16768	0.1942		0.1942	0.1942
17556	0.1939		0.1939	0.1939
18332	0.1936		0.1936	0.1936
20284	0.1933		0.1933	0.1933
22236	0.1932		0.1932	0.1932
24188	0.1931		0.1931	0.1931
26144	0.1931		0.1931	0.1931
